,name,year,price,km_driven,fuel,seller_type,transmission,owner,mileage(km/ltr/kg),engine,max_power,seats,brand
1119,Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,5.0,Volvo
1120,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494.0,157.0,5.0,Toyota
1121,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998.0,67.0,5.0,Maruti
1122,Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248.0,74.0,5.0,Maruti
1123,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.0,5.0,Honda
1124,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494.0,100.0,7.0,Toyota
1125,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.0,5.0,Maruti
1126,Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496.0,88.0,5.0,Toyota
1127,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197.0,81.0,5.0,Maruti
1128,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186.0,73.0,5.0,Hyundai
1129,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,BMW
1130,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,BMW
1131,Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199.0,88.0,5.0,Honda
1132,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.0,5.0,Skoda
1133,Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984.0,150.0,5.0,Volvo
1134,Jaguar XE 2016-2019 2.0L Diesel Prestige,2017,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,Jaguar
1135,Lexus ES 300h,2019,5150000,20000,Petrol,Dealer,Automatic,First Owner,22.37,2487.0,214.0,5.0,Lexus
1136,Jaguar XF 2.0 Diesel Portfolio,2017,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,Jaguar
1137,Tata Safari Storme EX,2015,503000,110000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.0,7.0,Tata
1138,Volvo XC40 D4 Inscription BSIV,2019,3800000,20000,Diesel,Individual,Automatic,First Owner,18.0,1969.0,190.0,5.0,Volvo
1139,Toyota Camry 2.5 Hybrid,2016,2000000,68089,Petrol,Trustmark Dealer,Automatic,First Owner,19.16,2494.0,157.0,5.0,Toyota
1140,Maruti Wagon R LXI,2013,225000,58343,Petrol,Trustmark Dealer,Manual,First Owner,21.79,998.0,67.0,5.0,Maruti
1141,Maruti Baleno Alpha 1.3,2018,740000,38817,Diesel,Dealer,Manual,First Owner,27.39,1248.0,74.0,5.0,Maruti
1142,Honda Jazz VX,2016,550000,56494,Petrol,Trustmark Dealer,Manual,First Owner,18.2,1199.0,88.0,5.0,Honda
1143,Toyota Innova 2.5 VX (Diesel) 7 Seater,2013,750000,79328,Diesel,Trustmark Dealer,Manual,Second Owner,12.99,2494.0,100.0,7.0,Toyota
1144,Maruti Swift AMT VVT VXI,2019,650000,5621,Petrol,Trustmark Dealer,Automatic,First Owner,22.0,1197.0,81.0,5.0,Maruti
1145,Toyota Etios VX,2017,625000,25538,Petrol,Trustmark Dealer,Manual,First Owner,16.78,1496.0,88.0,5.0,Toyota
1146,Maruti Swift AMT ZXI,2018,600000,69779,Petrol,Dealer,Automatic,First Owner,22.0,1197.0,81.0,5.0,Maruti
1147,Hyundai Grand i10 1.2 CRDi Sportz,2017,450000,56290,Diesel,Dealer,Manual,First Owner,24.0,1186.0,73.0,5.0,Hyundai
1148,BMW X4 M Sport X xDrive20d,2019,5400000,7500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,BMW
1149,BMW X4 M Sport X xDrive20d,2019,5500000,8500,Diesel,Dealer,Automatic,First Owner,16.78,1995.0,190.0,5.0,BMW
1150,Honda Amaze V CVT Petrol BSIV,2019,779000,7032,Petrol,Trustmark Dealer,Automatic,First Owner,19.0,1199.0,88.0,5.0,Honda
1151,Skoda Rapid 1.6 MPI AT Elegance,2016,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.0,5.0,Skoda
1152,Volvo V40 D3 R-Design,2018,2475000,2000,Diesel,Dealer,Automatic,First Owner,16.8,1984.0,150.0,5.0,Volvo
1153,Tata Indigo CS eLX BS IV,2017,385000,155000,Diesel,Individual,Manual,First Owner,25.0,1396.0,69.0,5.0,Tata
1154,Maruti Celerio ZXI AT,2016,400000,35000,Petrol,Individual,Automatic,First Owner,23.1,998.0,67.0,5.0,Maruti
1155,Hyundai Grand i10 1.2 CRDi Sportz Option,2018,550000,50000,Diesel,Individual,Manual,First Owner,24.0,1186.0,73.0,5.0,Hyundai
1156,Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010,270000,185000,Diesel,Individual,Manual,First Owner,14.8,2499.0,80.0,7.0,Chevrolet
1157,Tata Indigo CS LS (TDI) BS III,2013,200000,175000,Diesel,Individual,Manual,Second Owner,19.09,1396.0,69.0,5.0,Tata
1158,Renault KWID RXT Optional,2016,310000,11500,Petrol,Individual,Manual,First Owner,25.17,799.0,53.0,5.0,Renault
1159,Hyundai Xcent 1.2 CRDi S,2019,700000,3000,Diesel,Individual,Manual,First Owner,25.4,1186.0,73.0,5.0,Hyundai
1160,Chevrolet Sail LT ABS,2015,480000,80000,Diesel,Individual,Manual,Second Owner,22.1,1248.0,74.0,5.0,Chevrolet
1161,Maruti Alto LXI,2005,90000,40000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.0,5.0,Maruti
1162,Maruti Alto LXI,2005,80000,40000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.0,5.0,Maruti
1163,Maruti Ritz VDi,2015,350000,90000,Diesel,Individual,Manual,First Owner,23.2,1248.0,73.0,5.0,Maruti
1164,Maruti SX4 S Cross 2015-2017 DDiS 200 Zeta,2017,600000,100000,Diesel,Individual,Manual,First Owner,23.65,1248.0,88.0,5.0,Maruti
1165,Mahindra Scorpio M2DI,2011,350000,120000,Diesel,Individual,Manual,Third Owner,13.5,2179.0,115.0,5.0,Mahindra
1166,Maruti Vitara Brezza VDi Option,2018,770000,50000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.0,5.0,Maruti
1167,Mahindra Verito 1.5 D6 BSIV,2012,350000,25000,Diesel,Individual,Manual,First Owner,21.03,1461.0,65.0,5.0,Mahindra
1168,Mahindra Scorpio VLX 2WD AIRBAG BSIV,2011,600000,50000,Diesel,Individual,Manual,Third Owner,12.05,2179.0,120.0,8.0,Mahindra
1169,Mahindra TUV 300 T8,2016,750000,71000,Diesel,Individual,Manual,First Owner,18.49,1493.0,100.0,7.0,Mahindra
1170,Maruti Wagon R VXI BS IV,2016,340000,40000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.0,5.0,Maruti
1171,Hyundai Elite i20 Petrol Sportz,2018,650000,31800,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.0,5.0,Hyundai
1172,Hyundai i10 Sportz,2014,300000,65000,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.0,5.0,Hyundai
1173,Maruti Alto 800 LXI,2014,204999,15000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.0,5.0,Maruti
1174,Mahindra Verito 1.5 D4 BSIII,2012,254999,70000,Diesel,Individual,Manual,Second Owner,20.8,1461.0,65.0,5.0,Mahindra
1175,Ford Figo Aspire 1.2 Ti-VCT Titanium,2017,650000,5000,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.0,5.0,Ford
1176,Hyundai EON Magna Plus,2017,280000,50000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.0,5.0,Hyundai
1177,Tata Indica V2 DLS,2011,100000,80000,Diesel,Individual,Manual,First Owner,17.2,1396.0,53.0,5.0,Tata
1178,Chevrolet Tavera Neo 3 9 Str BSIII,2014,575000,70000,Diesel,Individual,Manual,Second Owner,13.58,2499.0,72.0,9.0,Chevrolet
1179,Maruti Vitara Brezza VDi,2017,780000,40000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.0,5.0,Maruti
1180,Mahindra Bolero 2011-2019 ZLX,2013,467000,157000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.0,7.0,Mahindra
1181,Mahindra Scorpio S10 7 Seater,2015,1050000,90000,Diesel,Individual,Manual,First Owner,15.4,2179.0,120.0,7.0,Mahindra
1182,Hyundai i10 Magna 1.1L,2011,225000,80000,Petrol,Individual,Manual,Second Owner,19.81,1086.0,68.0,5.0,Hyundai
1183,Hyundai Santro GLS I - Euro II,2004,90000,90000,Petrol,Individual,Manual,Third Owner,19.3,1248.0,82.0,5.0,Hyundai
1184,Hyundai Santro Xing XG AT eRLX Euro III,2004,80000,80000,Petrol,Individual,Automatic,Third Owner,19.3,1248.0,82.0,5.0,Hyundai
1185,Toyota Etios Liva GD,2012,300000,80000,Diesel,Individual,Manual,First Owner,19.3,1248.0,82.0,5.0,Toyota
1186,Mahindra Verito 1.5 D4 BSIV,2012,260000,70000,Diesel,Individual,Manual,Second Owner,21.03,1461.0,65.0,5.0,Mahindra
1187,Chevrolet Spark 1.0 E,2009,90000,50000,Petrol,Individual,Manual,Second Owner,16.0,995.0,63.0,5.0,Chevrolet
1188,Ford Figo Diesel ZXI,2012,280000,60000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,Ford
1189,Mahindra Verito 1.5 D4 BSIII,2014,350000,106000,Diesel,Individual,Manual,Second Owner,20.8,1461.0,65.0,5.0,Mahindra
1190,Mahindra Scorpio 2.6 SLX Turbo 7 Seater,2006,229999,80000,Diesel,Individual,Manual,Second Owner,10.5,2179.0,120.0,7.0,Mahindra
1191,Mahindra Bolero 2011-2019 DI NON AC BS III White,2016,550000,80000,Diesel,Individual,Manual,Second Owner,15.96,2523.0,63.0,9.0,Mahindra
1192,Toyota Innova 2.5 VX (Diesel) 8 Seater BS IV,2013,850000,110000,Diesel,Individual,Manual,Second Owner,12.99,2494.0,100.0,8.0,Toyota
1193,Mahindra Bolero DI,2011,370000,120000,Diesel,Individual,Manual,Third Owner,13.6,2523.0,63.0,7.0,Mahindra
1194,Maruti Alto K10 LXI,2013,250000,27000,Petrol,Individual,Manual,First Owner,20.92,998.0,67.0,5.0,Maruti
1195,Maruti Alto LXi,2007,95000,70000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.0,5.0,Maruti
1196,Maruti Wagon R LXI Minor,2010,180000,70000,Petrol,Individual,Manual,Second Owner,18.9,1061.0,67.0,5.0,Maruti
1197,Mahindra NuvoSport N8 AMT,2016,650000,50000,Diesel,Individual,Automatic,First Owner,17.45,1493.0,100.0,7.0,Mahindra
1198,Hyundai Xcent 1.2 CRDi E,2018,530000,60000,Diesel,Individual,Manual,First Owner,25.4,1186.0,73.0,5.0,Hyundai
1199,Maruti Swift VVT ZXI,2017,610000,15000,Petrol,Individual,Manual,First Owner,22.0,1197.0,81.0,5.0,Maruti
1200,Maruti Zen Estilo VXI BSIV W ABS,2011,200000,40000,Petrol,Individual,Manual,First Owner,19.3,1248.0,82.0,5.0,Maruti
1201,Mahindra Xylo E4 8S,2010,265000,135000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,8.0,Mahindra
1202,Tata Tiago 1.2 Revotron XZ WO Alloy,2018,560000,26300,Petrol,Individual,Manual,First Owner,23.84,1199.0,84.0,5.0,Tata
1203,Mahindra Bolero 2011-2019 SLE,2014,430000,120000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.0,7.0,Mahindra
1204,Maruti Swift Dzire VDI,2017,711000,35000,Diesel,Individual,Manual,First Owner,28.4,1248.0,74.0,5.0,Maruti
1205,Maruti Swift Dzire VXI,2015,511000,30000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.0,5.0,Maruti
1206,Mahindra Bolero 2011-2019 ZLX,2012,450000,165000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.0,7.0,Mahindra
1207,Tata Zest Revotron 1.2 XT,2015,325000,50000,Petrol,Individual,Manual,First Owner,17.57,1193.0,88.0,5.0,Tata
1208,Renault Scala Diesel RxZ,2013,434999,120000,Diesel,Individual,Manual,First Owner,21.64,1461.0,84.0,5.0,Renault
1209,Ford Figo Diesel LXI,2010,210000,100000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,5.0,Ford
1210,Maruti Omni BSIII 8-STR W/ IMMOBILISER,2009,140000,90000,Petrol,Individual,Manual,Third Owner,19.3,1248.0,82.0,5.0,Maruti
1211,Maruti SX4 Vxi BSIII,2007,160000,120000,Petrol,Individual,Manual,Second Owner,15.0,1586.0,104.0,5.0,Maruti
1212,Maruti Ertiga VXI Limited Edition,2017,650000,70000,Petrol,Individual,Manual,Second Owner,17.5,1373.0,91.0,7.0,Maruti
1213,Maruti Swift VDI BSIV,2008,250000,90000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.0,5.0,Maruti
1214,Hyundai i20 Sportz 1.2,2014,320000,72000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.0,5.0,Hyundai
1215,Renault KWID Climber 1.0 MT,2017,290000,50000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,Renault
1216,Mahindra Jeep Classic,1996,163000,5000,Diesel,Individual,Manual,Second Owner,19.3,1248.0,82.0,5.0,Mahindra
1217,Tata Nano CX,2013,80000,30000,Petrol,Individual,Manual,First Owner,25.4,624.0,37.0,4.0,Tata
1218,Tata Safari Storme EX,2017,1100000,20000,Diesel,Individual,Manual,First Owner,14.1,2179.0,147.0,7.0,Tata
1219,Maruti Ciaz ZDi Plus,2015,600000,110000,Diesel,Individual,Manual,First Owner,26.21,1248.0,88.0,5.0,Maruti
1220,Renault KWID RXT,2017,340000,25000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.0,5.0,Renault
1221,Toyota Innova 2.5 G (Diesel) 7 Seater,2014,750000,120000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.0,7.0,Toyota
1222,Maruti Alto LX,2006,100000,40000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.0,5.0,Maruti
1223,Renault KWID RXT Optional,2019,395000,10000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.0,5.0,Renault
1224,Maruti Wagon R VXI Minor,2010,200000,65000,Petrol,Individual,Manual,First Owner,18.9,1061.0,67.0,5.0,Maruti
1225,Maruti Eeco CNG 5 Seater AC BSIV,2019,450000,10000,CNG,Individual,Manual,First Owner,21.94,1196.0,61.0,5.0,Maruti
1226,Mahindra Verito 1.4 G4 BSIV,2012,180000,110000,Petrol,Individual,Manual,Second Owner,13.87,1390.0,75.0,5.0,Mahindra
1227,Mahindra Bolero DI,2008,190000,120000,Diesel,Individual,Manual,Second Owner,13.6,2523.0,63.0,7.0,Mahindra
1228,Maruti Eeco 5 Seater AC BSIV,2015,310000,72000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5.0,Maruti
1229,Maruti Ritz VDi,2014,351000,89100,Diesel,Individual,Manual,Second Owner,23.2,1248.0,73.0,5.0,Maruti
1230,Chevrolet Optra 1.6 LT Royale,2006,190000,94000,Petrol,Individual,Manual,Second Owner,17.4,1599.0,104.0,5.0,Chevrolet
1231,Hyundai EON Magna Plus,2015,225000,120000,Petrol,Individual,Manual,Second Owner,21.1,814.0,55.0,5.0,Hyundai
1232,Chevrolet Spark 1.0 LT,2012,130000,110000,Petrol,Individual,Manual,First Owner,16.2,995.0,62.0,5.0,Chevrolet
1233,Maruti Ciaz Alpha Diesel,2018,1000000,50000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.0,5.0,Maruti
1234,Tata Indica V2 DLS TC,2004,55000,90000,Diesel,Individual,Manual,Third Owner,16.8,1405.0,62.0,5.0,Tata
1235,Chevrolet Sail 1.2 LT ABS,2014,330000,23000,Petrol,Individual,Manual,First Owner,18.2,1199.0,82.0,5.0,Chevrolet
1236,Maruti Omni MPI STD BSIV,2013,166000,50000,Petrol,Individual,Manual,First Owner,16.8,796.0,34.0,5.0,Maruti
1237,Mahindra Xylo D4 BSIII,2013,200000,300000,Diesel,Individual,Manual,First Owner,14.0,2498.0,112.0,8.0,Mahindra
1238,Maruti Alto K10 2010-2014 VXI,2011,140000,50000,Petrol,Individual,Manual,Third Owner,20.92,998.0,67.0,5.0,Maruti
1239,Maruti Eeco CNG 5 Seater AC BSIV,2017,370000,140000,CNG,Individual,Manual,First Owner,21.94,1196.0,61.0,5.0,Maruti
1240,Hyundai Elite i20 Sportz Plus CVT BSIV,2019,720000,16000,Petrol,Individual,Automatic,First Owner,17.4,1197.0,81.0,5.0,Hyundai
1241,Hyundai i20 Active 1.4,2015,500000,126000,Diesel,Individual,Manual,First Owner,21.19,1396.0,88.0,5.0,Hyundai
1242,Hyundai Xcent 1.2 VTVT SX,2019,570000,15000,Petrol,Individual,Manual,First Owner,20.14,1197.0,81.0,5.0,Hyundai
1243,Maruti Swift Dzire 1.2 Vxi BSIV,2010,210000,200000,Petrol,Individual,Manual,First Owner,17.5,1197.0,85.0,5.0,Maruti
1244,Maruti Alto LXi,2009,120000,120000,Petrol,Individual,Manual,First Owner,19.7,796.0,46.0,5.0,Maruti
1245,Hyundai Getz GLX,2005,95000,120000,Petrol,Individual,Manual,Fourth & Above Owner,15.3,1341.0,83.0,5.0,Hyundai
1246,Hyundai i10 Sportz AT,2010,196000,110000,Petrol,Individual,Automatic,Third Owner,16.95,1197.0,78.0,5.0,Hyundai
1247,Maruti Eeco 5 Seater AC BSIV,2016,392000,38000,Petrol,Individual,Manual,First Owner,15.37,1196.0,73.0,5.0,Maruti
1248,Tata Manza Aura Plus Safire,2010,150000,104000,Petrol,Individual,Manual,First Owner,15.0,1368.0,90.0,5.0,Tata
1249,Honda BR-V i-VTEC E MT,2017,595000,120000,Petrol,Individual,Manual,First Owner,15.4,1497.0,117.0,7.0,Honda
1250,Maruti Vitara Brezza ZDi Plus AMT Dual Tone,2018,833000,35000,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.0,5.0,Maruti
1251,Maruti Swift VDI,2011,280000,210000,Diesel,Individual,Manual,First Owner,22.9,1248.0,74.0,5.0,Maruti
1252,Maruti 800 Std BSII,2003,35000,35000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,Maruti
1253,Maruti Ritz VDi,2009,180000,85000,Diesel,Individual,Manual,Third Owner,21.1,1248.0,73.0,5.0,Maruti
1254,Maruti Wagon R VXi BSII,2012,225000,80000,Petrol,Individual,Manual,First Owner,18.9,998.0,67.0,5.0,Maruti
1255,Mercedes-Benz New C-Class 220 CDI AT,2012,1400000,50000,Diesel,Individual,Automatic,First Owner,14.84,2143.0,170.0,5.0,Mercedes-Benz
1256,Hyundai i20 Era Diesel,2009,340000,40000,Diesel,Individual,Manual,First Owner,23.0,1396.0,90.0,5.0,Hyundai
1257,Toyota Innova 2.5 GX 8 STR,2010,550000,216000,Diesel,Individual,Manual,First Owner,12.8,2494.0,102.0,8.0,Toyota
1258,Maruti Wagon R VXI BS IV,2017,400000,65000,Petrol,Individual,Manual,Second Owner,20.51,998.0,67.0,5.0,Maruti
1259,Hyundai Getz GLE,2006,90000,100000,Petrol,Individual,Manual,Third Owner,15.3,1341.0,83.0,5.0,Hyundai
1260,Maruti Ciaz VDi Plus SHVS,2015,650000,84000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.0,5.0,Maruti
1261,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,2012,730000,210000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.0,7.0,Toyota
1262,Chevrolet Aveo U-VA 1.2 LS,2010,125000,60000,Petrol,Individual,Manual,First Owner,15.26,1150.0,74.0,5.0,Chevrolet
1263,Hyundai Getz GLE,2006,81000,100000,Petrol,Individual,Manual,Fourth & Above Owner,15.3,1341.0,83.0,5.0,Hyundai
1264,Maruti Swift Glam,2007,170000,78000,Petrol,Individual,Manual,Second Owner,16.1,1298.0,88.0,5.0,Maruti
1265,Honda City 1.5 EXI,2002,81000,161000,Petrol,Individual,Manual,Fourth & Above Owner,13.0,1493.0,100.0,5.0,Honda
1266,Maruti Alto LX,2005,95000,70000,Petrol,Individual,Manual,Third Owner,19.7,796.0,46.0,5.0,Maruti
1267,Tata Nano Cx BSIV,2010,55000,50000,Petrol,Individual,Manual,Third Owner,26.0,624.0,35.0,4.0,Tata
1268,Renault Lodgy World Edition 110PS,2017,880000,65000,Diesel,Individual,Manual,First Owner,19.98,1461.0,108.0,8.0,Renault
1269,Renault KWID RXL,2015,200000,50000,Petrol,Individual,Manual,First Owner,25.17,799.0,53.0,5.0,Renault
1270,Maruti Wagon R VXI 1.2,2019,480000,25000,Petrol,Individual,Manual,First Owner,20.52,1197.0,81.0,5.0,Maruti
1271,Mahindra Bolero 2011-2019 Plus AC,2013,480000,100000,Diesel,Individual,Manual,First Owner,15.96,2523.0,62.0,9.0,Mahindra
1272,Hyundai i20 1.2 Asta,2018,700000,6000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.0,5.0,Hyundai
1273,Honda BRV i-DTEC V MT,2016,850000,72113,Diesel,Individual,Manual,First Owner,21.9,1498.0,98.0,7.0,Honda
1274,Tata Indigo CR4,2012,300000,40000,Diesel,Individual,Manual,First Owner,23.57,1396.0,70.0,5.0,Tata
1275,Hyundai i20 1.2 Asta Option,2017,650000,8000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.0,5.0,Hyundai
1276,Maruti Ritz VXI,2010,220000,20000,Petrol,Individual,Manual,First Owner,21.1,1197.0,85.0,5.0,Maruti
1277,Tata Indigo CS LS (TDI) BS-III,2014,300000,45000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.0,5.0,Tata
1278,Maruti Swift Dzire VDI,2014,450000,80000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti
1279,Maruti Swift VDI BSIV,2014,400000,90000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,Maruti
1280,Maruti S-Cross 2017-2020 Alpha DDiS 200 SH,2018,1030000,25000,Diesel,Individual,Manual,First Owner,25.1,1248.0,88.0,5.0,Maruti
1281,Tata Manza Aura Quadrajet,2010,190000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,Tata
1282,Ford Fiesta 1.4 Duratec EXI,2006,140000,60000,Petrol,Individual,Manual,Second Owner,16.6,1388.0,68.0,5.0,Ford
1283,Hyundai i20 Active S Diesel,2018,800000,30000,Diesel,Individual,Manual,First Owner,21.19,1396.0,88.0,5.0,Hyundai
1284,Mahindra Scorpio LX 2.6 Turbo,2007,229999,120000,Diesel,Individual,Manual,Third Owner,10.5,2609.0,120.0,7.0,Mahindra
1285,Tata Safari DICOR 2.2 EX 4x2,2011,300000,80000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.0,7.0,Tata
1286,Volkswagen Vento Diesel Highline,2011,375000,69000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.0,5.0,Volkswagen
1287,Chevrolet Beat LT,2010,140000,75000,Petrol,Individual,Manual,First Owner,18.6,1199.0,79.0,5.0,Chevrolet
1288,Maruti Alto LX,2004,60000,113000,Petrol,Individual,Manual,Second Owner,19.7,796.0,46.0,5.0,Maruti
1289,Hyundai Xcent 1.1 CRDi S Option,2014,420000,90000,Diesel,Individual,Manual,Second Owner,24.4,1120.0,71.0,5.0,Hyundai
1290,Renault Pulse RxZ,2012,300000,100000,Diesel,Individual,Manual,Third Owner,23.08,1461.0,63.0,5.0,Renault
1291,Tata Indica Vista Quadrajet VX,2012,150000,110000,Diesel,Individual,Manual,First Owner,22.3,1248.0,74.0,5.0,Tata
1292,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,2015,600000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.0,5.0,Ford
1293,Ford Figo Diesel Titanium,2011,204999,100000,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,5.0,Ford
1294,Hyundai Xcent 1.2 CRDi SX,2017,625000,50000,Diesel,Individual,Manual,First Owner,25.4,1186.0,73.0,5.0,Hyundai
1295,Fiat Grande Punto 1.3 Emotion Pack 90HP (Diesel),2011,280000,200000,Diesel,Individual,Manual,First Owner,20.5,1248.0,91.0,5.0,Fiat
1296,Hyundai Santa Fe 2WD AT,2014,1050000,146000,Diesel,Individual,Automatic,Second Owner,13.01,2199.0,194.0,7.0,Hyundai
1297,Chevrolet Optra Magnum 1.6 LT Petrol,2009,250000,80000,Petrol,Individual,Manual,Second Owner,12.9,1598.0,102.0,5.0,Chevrolet
1298,Tata New Safari DICOR 2.2 EX 4x2,2010,535000,96443,Diesel,Individual,Manual,Second Owner,11.57,2179.0,138.0,7.0,Tata
1299,Honda Accord 2.4 AT,2009,400000,100000,Petrol,Individual,Automatic,Second Owner,11.7,2354.0,177.0,5.0,Honda
1300,Maruti Swift AMT VXI,2019,610000,10000,Petrol,Individual,Automatic,First Owner,21.21,1197.0,81.0,5.0,Maruti
1301,Maruti Swift Dzire VDI,2014,509999,110000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti
1302,Tata Safari Storme VX,2014,521000,86000,Diesel,Individual,Manual,Second Owner,14.0,2179.0,138.0,7.0,Tata
1303,Maruti Swift Dzire VDI,2014,511000,100000,Diesel,Individual,Manual,First Owner,23.4,1248.0,74.0,5.0,Maruti
1304,Hyundai i20 Sportz 1.4 CRDi,2014,451000,91000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.0,5.0,Hyundai
1305,Hyundai i10 Sportz,2009,170000,100000,Petrol,Individual,Manual,First Owner,20.36,1197.0,78.0,5.0,Hyundai
1306,Maruti Swift Dzire VDI,2013,450000,120000,Diesel,Individual,Manual,Second Owner,23.4,1248.0,74.0,5.0,Maruti
1307,Honda City 1.5 V Elegance,2011,375000,90000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,Honda
1308,Maruti Alto 800 LXI,2016,305000,60000,Petrol,Individual,Manual,Second Owner,22.74,796.0,47.0,5.0,Maruti
1309,Renault KWID RXT,2016,315000,51500,Petrol,Individual,Manual,First Owner,25.17,799.0,53.0,5.0,Renault
1310,Chevrolet Sail 1.3 LS,2016,250000,60000,Diesel,Individual,Manual,Second Owner,22.1,1248.0,74.0,5.0,Chevrolet
1311,Ford Figo Diesel EXI,2012,200000,104500,Diesel,Individual,Manual,Second Owner,20.0,1399.0,68.0,5.0,Ford
1312,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2018,950000,30000,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.0,5.0,Ford
1313,Renault Duster 110PS Diesel RxL,2012,400000,120000,Diesel,Individual,Manual,Third Owner,19.01,1461.0,108.0,5.0,Renault
1314,Maruti Swift ZDi,2014,509999,100000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,Maruti
